ship-city,Amount
TADPATRI,15557.0
SIRSI,15537.0
NAHAN,15517.95
NAINITAL,15500.24
Jamshedpur,15465.39
NAGAPATTINAM,15426.380000000001
Warangal,15307.0
PILIBHIT,15282.43
SHAHDOL,15162.29
KOHIMA,15146.15
GURDASPUR,15092.0
DINDIGUL,15038.0
Meerut,15029.0
Gorakhpur,14996.1
GUDUR,14935.0
PHAGWARA,14933.04
PALAMPUR,14854.29
THANE West,14843.71
MYSORE,14840.71
JAUNPUR,14817.86
Mohali,14786.0
SURENDRANAGAR,14776.48
DHULE,14705.0
Payyanur,14703.0
Siliguri,14657.0
NAMCHI,14639.33
MAHENDRAGARH,14619.0
Aluva,14599.19
BAHRAICH,14589.91
MAHBUBNAGAR,14478.96
NADBAI,14470.25
MURWARA KATNI,14368.95
KRISHNAGIRI,14358.86
CURCHOREM,14287.93
KENDRAPARA,14258.0
ALUVA,14234.38
TIRUVALLUR,14215.0
BANDA,14180.38
JAGDALPUR,14173.0
Pimpri Chinchwad,14113.0
PURI,14074.54
COLVALE,14057.0
NORTH GUWAHATI,14044.0
KALYANI,14022.0
GOLAGHAT,13911.29
UTTAR BAGDOGRA,13910.9
BAGALKOT,13907.380000000001
KORAPUT,13880.57
Jalandhar,13875.95
THALASSERY,13844.28
UTTARKASHI,13807.0
BEAWAR,13757.0
GANDHIDHAM,13670.96
VIRUDHUNAGAR,13645.86
BEGUSARAI,13636.77
VRINDAVAN,13632.11
Mathura,13614.24
SINGTAM,13599.25
BHIWANI,13599.14
Hosur,13582.0
Erode,13567.28
CHAPRA,13561.83
NUZVID,13537.43
DHARMSALA,13525.48
MANGALAGIRI,13508.0
KUMBAKONAM,13497.0
HOSAPETE,13394.67
PARAVUR,13305.34
SOHNA,13295.0
HIMMATNAGAR,13276.0
KATHUA,13269.57
RAMANATHAPURAM,13251.48
HOSHIARPUR,13218.36
VISNAGAR,13186.28
CALANGUTE,13185.67
BALAGHAT,13141.0
BUDAUN,13122.48
PAONTA SAHIB,13075.130000000001
DEORIA,13067.0
DHENKANAL,13056.24
MADIKERI,13023.0
JAGTIAL,13020.0
BANKURA,13015.95
IBRAHIMPATNAM,12983.0
ETTUMANOOR,12913.0
Navi mumbai,12869.0
VADAKARA,12867.52
KALPETTA,12863.19
RAYAGADA RAYAGADA DISTRICT,12778.0
MEDAK,12717.0
UDHAMPUR,12688.0
CHENGALPATTU,12682.0
PIRANGUT,12652.0
